checkpoint_collected,checkpoint_planned,checkpoint_status,citation_id,sample_id,question_id,question_text,pool,category,sampling_round,source_title,normalized_url,final_domain,source_type,accessible,published_date,authority_score,relevance_score,freshness_status,accessibility_result,accessibility_detail,accessibility_rule_id,authority_result,authority_detail,authority_rule_id,authority_authors,authority_publishers,relevance_result,relevance_detail,relevance_rule_id,title_coverage,question_coverage,answer_coverage,relevance_evidence_snippet,freshness_result,freshness_detail,freshness_rule_id,freshness_evidence_source,freshness_evidence_dates,frozen_source_date,rule_version
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C11,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"达人合作不靠运气爆量,用好这四大AI能力,经营增长更有确定性 《蝉圈圈 6.0》全新升级, AI 全链路搞定内容、达人、数据闭环!#蝉圈圈 #达人营销 #商务BD #内容策略 #爆量技巧",https://iesdouyin.com/share/video/7655323158509063430,iesdouyin.com,platform_official,unknown,2026-06-25,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2026-06-25""]",2026-06-25,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C12,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"每天对接上百个达人?商务怕的不是被拒,是同一句话发100遍 别再无效内卷了,看看头部怎么做的。蝉圈圈对话话妙可蓝多抖音渠道达播负责人辰阳,聊聊他们亮眼成绩背后的真实动作,究竟做对了哪些事? #蝉圈圈#",https://iesdouyin.com/share/video/7644831200099519771,iesdouyin.com,platform_official,unknown,2026-05-28,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2026-05-28""]",2026-05-28,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C13,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,"达人种草全攻略:穿透数据迷雾,精准投放与长效运营方法论 - 蝉圈圈",https://kolkoc.com/news/843.html,kolkoc.com,official_direct,unknown,2025-10-24,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-10-24""]",2025-10-24,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0001-C14,CQ-S-20260805-C1-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,core_round_1,达人营销下半场策略:如何撬动抖音电商新增量? - 蝉圈圈,https://kolkoc.com/news/164.html,kolkoc.com,official_direct,unknown,2025-09-12,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-09-12""]",2025-09-12,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C01,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,"蝉圈圈—经营你的达人圈,达人合作管理、品效合一全流程管理工具",https://m.kolkoc.com/?channel_id=5135,m.kolkoc.com,official_direct,pass,,,,unknown,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,content_insufficient,REL-UNKNOWN-CONTENT,0.0,0.0,0.0,蝉圈圈—经营你的达人圈，达人合作管理、品效合一全流程管理工具 蝉圈圈—经营你的达人圈，达人合作管理、品效合一全流程管理工具,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C02,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈AI超级商务Agent:达人营销全流程自动化的革命者 - 蝉圈圈,https://kolkoc.com/news/810.html,kolkoc.com,official_direct,unknown,2025-10-21,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-10-21""]",2025-10-21,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C03,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈 | 官网入口 - 电商达人营销管理系统,https://cxgn.cn/chan-quan-quan,cxgn.cn,other,pass,2025-09-21,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,author_and_publisher_signals,AUTH-PASS-DUAL-IDENTITY,"[""AI创作导航""]","[""AI创作导航"",""蝉圈圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.333333,0.138979,蝉圈圈 | 官网入口 - 电商达人营销管理系统 蝉圈圈 | 官网入口 - 电商达人营销管理系统 AI创作导航 登录体验完整功能（收藏、点赞、评论等） — 已累计有 13407 人加入 立即登录 → AI创作导航 创作类 全品类 首页 工具广场 X 社区 AI养虾 分类 提交工具 意见反馈 游客 登录后可享受更多服务 立即登录 首页 分类 工具广场 我的收藏 个人中心 工具提交 登录 让AI触手可及，让应用激发潜能 搜索 AIPPT生成免费AI配音 AI智能音箱 张一鸣 港股通,pass,within_12_months,FRESH-PASS-WINDOW,page_structured,"[""2025-09-21"",""2026-05-30""]",2025-09-21,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C04,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,"一键建联1000+达人,蝉圈圈AI商务员工开启高效达人合作新篇章 - 蝉圈圈",https://kolkoc.com/news/793.html,kolkoc.com,official_direct,pass,2025-10-17,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.380952,0.093377,一键建联1000+达人，蝉圈圈AI杀疯了 一键建联1000+达人，蝉圈圈AI商务员工开启高效达人合作新篇章 - 蝉圈圈 蝉圈圈-达播学习圈   首页 品牌案例 品牌访谈 实操干货 营销资讯 当前位置： 蝉圈圈-达播学习圈 » 营销资讯 » 一键建联1000+达人，蝉圈圈AI杀疯了 一键建联1000+达人，蝉圈圈AI杀疯了小小蓝2025-10-17营销资讯1805 找达人合作，你是不是也这样： 每天翻100个主页，眼睛快瞎了，合适的却没几个 发出去的消息像扔进大海,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-02"",""2025-10-01"",""2025-10-02"",""2025-10-03""]",2025-10-17,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C05,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈-抖音达人营销全流程管理工具,https://deepnavi.cn/ai-marketing/chan-quan-quan,deepnavi.cn,other,unknown,,,,unknown,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,unknown,page_not_auditable,AUTH-UNKNOWN-NO-PAGE,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C06,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉大师-蝉圈圈和RSVP.ai薄言-智能营销哪个好-有什么区别-优缺点-36氪企服点评,https://m.36dianping.com/vs/ps9u.html,m.36dianping.com,other,pass,,,,unknown,pass,normal_access,ACC-PASS-HTTP2XX,unknown,identity_evidence_insufficient,AUTH-UNKNOWN-INSUFFICIENT,[],[],pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.333333,0.083605,蝉大师-蝉圈圈和RSVP.ai薄言-智能营销哪个好-有什么区别-优缺点-36氪企服点评 蝉大师-蝉圈圈和RSVP.ai薄言-智能营销哪个好-有什么区别-优缺点-36氪企服点评 首页 软件分类 排行榜 案例库 资讯 直播 AI测评网 登录 首页 蝉大师-蝉圈圈 RSVP.ai薄言-智能营销 蝉大师-蝉圈圈和RSVP.ai薄言-智能营销哪个好用 基本概括定价客户规模评分问答分类产品截图替代品推荐对比 对比以下产品，看看哪个更适合你,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C07,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈达人营销CRM插件:一键解锁高效达人筛选与管理新体验 - 蝉圈圈,https://kolkoc.com/news/740.html,kolkoc.com,official_direct,unknown,2025-10-13,,,pass,unknown,transient_or_technical,ACC-UNKNOWN-HTTP5XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-10-13""]",2025-10-13,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C08,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,"达人批量建联怎么办?蝉圈圈3步高效管理 Q1: 达人数量多时,怎么批量建联和邀约? A1: 核心是建立标准化筛选漏斗。入口「达人-达人库」,按带货类目、粉丝画像及销售额筛选,利用AI智能匹配一键拆解3",https://iesdouyin.com/share/video/7667123093022827200,iesdouyin.com,platform_official,unknown,2026-07-27,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2026-07-27""]",2026-07-27,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C09,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,"达人商务如何批量拆解账号?蝉妈妈3步提效 Q1: 怎么批量拆解达人账号? A1: 核心是用AI智能匹配提效。进入蝉妈妈首页「智能找达人」,输入商品或人群目标,系统一键推荐并支持批量查看30个达人近30",https://iesdouyin.com/share/video/7670122868517179619,iesdouyin.com,platform_official,unknown,2026-08-04,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2026-08-04""]",2026-08-04,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C10,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,零经验商务做出50万GMV!老板聊完发现... - 蝉圈圈-达播学习圈,https://kolkoc.com/news/892.html,kolkoc.com,official_direct,pass,2025-10-30,,,pass,pass,normal_access,ACC-PASS-HTTP2XX,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],"[""蝉圈圈-达播学习圈""]",pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.47619,0.083605,老板聊完发现… - 蝉圈圈-达播学习圈 蝉圈圈-达播学习圈   首页 品牌案例 品牌访谈 实操干货 营销资讯 当前位置： 蝉圈圈-达播学习圈 » 品牌案例 » 零经验商务做出50万GMV,pass,within_12_months,FRESH-PASS-WINDOW,page_explicit,"[""2025-09-01"",""2025-09-02"",""2025-10-01"",""2025-10-03""]",2025-10-30,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C11,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈抖音达人营销管理工具_达人种草管理系统_达人合作管理软件-云巴巴,https://yun88.com/product/7862.html,yun88.com,other,pass,,,,unknown,pass,normal_access,ACC-PASS-HTTP2XX,unknown,identity_evidence_insufficient,AUTH-UNKNOWN-INSUFFICIENT,[],[],pass,threshold_match,REL-PASS-THRESHOLD,1.0,0.380952,0.149837,蝉圈圈抖音达人营销管理工具_达人种草管理系统_达人合作管理软件-云巴巴 蝉圈圈抖音达人营销管理工具_达人种草管理系统_达人合作管理软件-云巴巴 立即咨询 电话咨询 微信咨询 立即试用 商务合作 首页 AI市场 数字化产品 选型榜 数字化社区 伙伴中心 关于我们 免费试用 蝉圈圈抖音达人营销管理工具蝉圈圈达人营销智能决策与管理平台稳抓行业先机，提升营销GMV,unknown,date_conflict_or_future,FRESH-UNKNOWN-CONFLICT,page_explicit,"[""2025-03-03"",""2025-08-02"",""2025-09-08""]",,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C12,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,"每天对接上百个达人?商务怕的不是被拒,是同一句话发100遍 别再无效内卷了,看看头部怎么做的。蝉圈圈对话话妙可蓝多抖音渠道达播负责人辰阳,聊聊他们亮眼成绩背后的真实动作,究竟做对了哪些事? #蝉圈圈#",https://iesdouyin.com/share/video/7644831200099519771,iesdouyin.com,platform_official,unknown,2026-05-28,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2026-05-28""]",2026-05-28,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0002-C13,CQ-S-20260805-C1-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,core_round_1,蝉圈圈AI商务助手实现达人合作高效匹配,https://iesdouyin.com/share/video/7566547244121115941,iesdouyin.com,platform_official,unknown,2025-10-29,,,pass,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,pass,frozen_official_source_type,AUTH-PASS-FROZEN-OFFICIAL,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,pass,within_12_months,FRESH-PASS-WINDOW,frozen_source_table,"[""2025-10-29""]",2025-10-29,CQQ-CITATION-QUALITY-V1-20260807
730,730,730/730 最终 FULL,CQ-S-20260805-C1-Q0003-C01,CQ-S-20260805-C1-Q0003,CQ-Q0003,"蝉圈圈多少钱一个月,收费方式是怎样的?",核心池,品牌产品问题,core_round_1,蝉圈圈-抖音达人营销全流程管理工具,https://deepnavi.cn/ai-marketing/chan-quan-quan,deepnavi.cn,other,unknown,,,,unknown,unknown,robots_unavailable,ACC-UNKNOWN-NO-RETRY,unknown,page_not_auditable,AUTH-UNKNOWN-NO-PAGE,[],[],unknown,page_not_auditable,REL-UNKNOWN-NO-PAGE,0.0,0.0,0.0,,unknown,date_missing,FRESH-UNKNOWN-MISSING,none,[],,CQQ-CITATION-QUALITY-V1-20260807
