citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,site_key,matched_url
CIT-R3-Q0059-D1-R1-05,第三轮全量576采样,R3-Q0059-D1-R1,Q0059,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T09:50:05.650Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0059-D1-R1-06,第三轮全量576采样,R3-Q0059-D1-R1,Q0059,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T09:50:05.650Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0059-D1-R1-07,第三轮全量576采样,R3-Q0059-D1-R1,Q0059,灰豚数据 - 直播短视频带货数据分析平台|抖音快手小红书达人查询爆款商品直播间数据工具网页版,https://huitun.aiproducthub.cn/,https://huitun.aiproducthub.cn/,https://huitun.aiproducthub.cn/,other,2026-09-07T09:50:05.650Z,aiproducthub.cn,https://huitun.aiproducthub.cn/
CIT-R3-Q0058-D1-R1-17,第三轮全量576采样,R3-Q0058-D1-R1,Q0058,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T09:50:07.970Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0053-D1-R1-05,第三轮全量576采样,R3-Q0053-D1-R1,Q0053,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T09:50:20.338Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0053-D1-R1-06,第三轮全量576采样,R3-Q0053-D1-R1,Q0053,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T09:50:20.338Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0071-D1-R1-17,第三轮全量576采样,R3-Q0071-D1-R1,Q0071,有米云有米有数新电商营销大数据分析平台_抖音电商选品软件_智能投放提效工具-云巴巴,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,other,2026-09-07T09:56:55.445Z,yun88.com,https://yun88.com/product/8283.html
CIT-R3-Q0076-D1-R1-07,第三轮全量576采样,R3-Q0076-D1-R1,Q0076,新抖数据 - 新榜旗下抖音数据分析平台|短视频直播电商数据工具达人投放品牌营销网页版入口,https://xindou.aiproducthub.cn/,https://xindou.aiproducthub.cn/,https://xindou.aiproducthub.cn/,other,2026-09-07T10:01:47.458Z,aiproducthub.cn,https://xindou.aiproducthub.cn/
CIT-R3-Q0075-D1-R1-04,第三轮全量576采样,R3-Q0075-D1-R1,Q0075,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T10:01:49.816Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0075-D1-R1-06,第三轮全量576采样,R3-Q0075-D1-R1,Q0075,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T10:01:49.816Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0090-D1-R1-09,第三轮全量576采样,R3-Q0090-D1-R1,Q0090,晓多科技语流Agent怎么用?能一键接入抖音淘宝吗?-云巴巴,https://www.yun88.com/qa/3822.html,https://www.yun88.com/qa/3822.html,https://www.yun88.com/qa/3822.html,other,2026-09-07T10:13:36.694Z,yun88.com,https://yun88.com/qa/3822.html
CIT-R3-Q0086-D1-R1-11,第三轮全量576采样,R3-Q0086-D1-R1,Q0086,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T10:13:52.750Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0086-D1-R1-12,第三轮全量576采样,R3-Q0086-D1-R1,Q0086,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T10:13:52.750Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0084-D1-R1-05,第三轮全量576采样,R3-Q0084-D1-R1,Q0084,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T10:14:08.314Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0078-D1-R1-05,第三轮全量576采样,R3-Q0078-D1-R1,Q0078,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T10:14:26.048Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0021-D1-R2-04,第三轮全量576采样,R3-Q0021-D1-R2,Q0021,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T10:48:22.658Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0004-D1-R2-06,第三轮全量576采样,R3-Q0004-D1-R2,Q0004,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T10:49:32.393Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0057-D1-R2-09,第三轮全量576采样,R3-Q0057-D1-R2,Q0057,抖查查 - 抖音直播短视频电商数据分析平台|直播大屏秒级监测带货分析商品销量排行热门榜单账号诊断达人运营变现网页版入口,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,other,2026-09-07T12:05:58.071Z,aiproducthub.cn,https://douchacha.aiproducthub.cn/
CIT-R3-Q0059-D1-R2-10,第三轮全量576采样,R3-Q0059-D1-R2,Q0059,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:05:59.346Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0060-D1-R2-11,第三轮全量576采样,R3-Q0060-D1-R2,Q0060,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:06:00.030Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0060-D1-R2-14,第三轮全量576采样,R3-Q0060-D1-R2,Q0060,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T12:06:00.030Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0061-D1-R2-05,第三轮全量576采样,R3-Q0061-D1-R2,Q0061,抖查查 - 抖音直播短视频电商数据分析平台|直播大屏秒级监测带货分析商品销量排行热门榜单账号诊断达人运营变现网页版入口,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,other,2026-09-07T12:06:00.688Z,aiproducthub.cn,https://douchacha.aiproducthub.cn/
CIT-R3-Q0061-D1-R2-09,第三轮全量576采样,R3-Q0061-D1-R2,Q0061,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:06:00.688Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0063-D1-R2-06,第三轮全量576采样,R3-Q0063-D1-R2,Q0063,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T12:06:02.278Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0064-D1-R2-11,第三轮全量576采样,R3-Q0064-D1-R2,Q0064,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:06:02.975Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0076-D1-R2-07,第三轮全量576采样,R3-Q0076-D1-R2,Q0076,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T12:06:13.569Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0084-D1-R2-02,第三轮全量576采样,R3-Q0084-D1-R2,Q0084,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:06:20.094Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0019-D1-R3-11,第三轮全量576采样,R3-Q0019-D1-R3,Q0019,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:26:28.089Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0022-D1-R3-07,第三轮全量576采样,R3-Q0022-D1-R3,Q0022,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T12:26:30.202Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0024-D1-R3-27,第三轮全量576采样,R3-Q0024-D1-R3,Q0024,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:26:31.536Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0041-D1-R3-14,第三轮全量576采样,R3-Q0041-D1-R3,Q0041,抖查查 - 抖音直播短视频电商数据分析平台|直播大屏秒级监测带货分析商品销量排行热门榜单账号诊断达人运营变现网页版入口,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,https://douchacha.aiproducthub.cn/,other,2026-09-07T12:48:50.017Z,aiproducthub.cn,https://douchacha.aiproducthub.cn/
CIT-R3-Q0042-D1-R3-17,第三轮全量576采样,R3-Q0042-D1-R3,Q0042,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T12:48:50.938Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0044-D1-R3-03,第三轮全量576采样,R3-Q0044-D1-R3,Q0044,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-07T12:48:52.508Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0047-D1-R3-11,第三轮全量576采样,R3-Q0047-D1-R3,Q0047,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:48:55.098Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0049-D1-R3-09,第三轮全量576采样,R3-Q0049-D1-R3,Q0049,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T12:48:56.846Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0059-D1-R3-07,第三轮全量576采样,R3-Q0059-D1-R3,Q0059,有米云有米有数新电商营销大数据分析平台_抖音电商选品软件_智能投放提效工具-云巴巴,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,other,2026-09-07T12:49:08.590Z,yun88.com,https://yun88.com/product/8283.html
CIT-R3-Q0059-D1-R3-11,第三轮全量576采样,R3-Q0059-D1-R3,Q0059,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:49:08.590Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0061-D1-R3-05,第三轮全量576采样,R3-Q0061-D1-R3,Q0061,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-07T12:49:10.625Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0061-D1-R3-08,第三轮全量576采样,R3-Q0061-D1-R3,Q0061,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-07T12:49:10.625Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0064-D1-R3-17,第三轮全量576采样,R3-Q0064-D1-R3,Q0064,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-07T12:49:13.669Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0071-D1-R3-12,第三轮全量576采样,R3-Q0071-D1-R3,Q0071,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:49:26.629Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0075-D1-R3-05,第三轮全量576采样,R3-Q0075-D1-R3,Q0075,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:49:30.079Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0075-D1-R3-19,第三轮全量576采样,R3-Q0075-D1-R3,Q0075,有米云有米有数新电商营销大数据分析平台_抖音电商选品软件_智能投放提效工具-云巴巴,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,other,2026-09-07T12:49:30.079Z,yun88.com,https://yun88.com/product/8283.html
CIT-R3-Q0078-D1-R3-05,第三轮全量576采样,R3-Q0078-D1-R3,Q0078,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:49:32.601Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0084-D1-R3-02,第三轮全量576采样,R3-Q0084-D1-R3,Q0084,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-07T12:49:38.563Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0004-D2-R1-06,第三轮全量576采样,R3-Q0004-D2-R1,Q0004,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-08T01:52:15.320Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0014-D2-R1-06,第三轮全量576采样,R3-Q0014-D2-R1,Q0014,有米云有米有数新电商营销大数据分析平台,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,https://www.yun88.com/product/8283.html,other,2026-09-08T02:14:58.811Z,yun88.com,https://yun88.com/product/8283.html
CIT-R3-Q0017-D2-R1-23,第三轮全量576采样,R3-Q0017-D2-R1,Q0017,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-08T02:15:02.525Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0018-D2-R1-16,第三轮全量576采样,R3-Q0018-D2-R1,Q0018,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-08T02:15:03.620Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0018-D2-R1-19,第三轮全量576采样,R3-Q0018-D2-R1,Q0018,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-08T02:15:03.620Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0019-D2-R1-16,第三轮全量576采样,R3-Q0019-D2-R1,Q0019,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-08T02:15:04.998Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0021-D2-R1-05,第三轮全量576采样,R3-Q0021-D2-R1,Q0021,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-08T02:15:07.154Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0021-D2-R1-15,第三轮全量576采样,R3-Q0021-D2-R1,Q0021,考古加 - 抖音电商数据分析平台|达人直播带货选品分析网页版入口,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,https://kaogujia.aiproducthub.cn/,other,2026-09-08T02:15:07.154Z,aiproducthub.cn,https://kaogujia.aiproducthub.cn/
CIT-R3-Q0023-D2-R1-22,第三轮全量576采样,R3-Q0023-D2-R1,Q0023,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-08T02:15:09.508Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0027-D2-R1-16,第三轮全量576采样,R3-Q0027-D2-R1,Q0027,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-08T02:15:13.372Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0044-D2-R1-05,第三轮全量576采样,R3-Q0044-D2-R1,Q0044,灰豚数据短视频& 直播电商数据分析平台_抖音、小红书达人营销管理工具-云巴巴,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,https://www.yun88.com/product/9520.html,other,2026-09-08T02:15:28.964Z,yun88.com,https://yun88.com/product/9520.html
CIT-R3-Q0049-D2-R1-06,第三轮全量576采样,R3-Q0049-D2-R1,Q0049,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-08T02:15:33.731Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0054-D2-R1-10,第三轮全量576采样,R3-Q0054-D2-R1,Q0054,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-08T02:15:38.690Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0054-D2-R1-11,第三轮全量576采样,R3-Q0054-D2-R1,Q0054,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-08T02:15:38.690Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0058-D2-R1-17,第三轮全量576采样,R3-Q0058-D2-R1,Q0058,蝉妈妈 - 抖音短视频与直播电商数据分析平台|达人营销与商品洞察,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,https://chanmama.aiproducthub.cn/,other,2026-09-08T02:15:42.057Z,aiproducthub.cn,https://chanmama.aiproducthub.cn/
CIT-R3-Q0059-D2-R1-02,第三轮全量576采样,R3-Q0059-D2-R1,Q0059,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-08T02:15:42.870Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
CIT-R3-Q0059-D2-R1-07,第三轮全量576采样,R3-Q0059-D2-R1,Q0059,TooBigData - 抖音快手短视频数据分析平台|网红排行热门商品账号诊断网页版入口,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,https://toobigdata.aiproducthub.cn/,other,2026-09-08T02:15:42.870Z,aiproducthub.cn,https://toobigdata.aiproducthub.cn/
CIT-R3-Q0061-D2-R1-10,第三轮全量576采样,R3-Q0061-D2-R1,Q0061,飞瓜数据 - 短视频/直播电商数据分析平台|抖音快手B站数据洞察,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,https://feigua.aiproducthub.cn/,other,2026-09-08T02:15:44.665Z,aiproducthub.cn,https://feigua.aiproducthub.cn/
