citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,article_key,platform,registry_id,account_name,account_type,confidence,match_basis
CIT-R3-Q0011-D1-R1-10,第三轮全量576采样,R3-Q0011-D1-R1,Q0011,电商运营怎么查抖音直播带货达人数据与爆款选品?5个技巧用蝉妈妈数据分析平台实操指南_实时_品牌,https://m.sohu.com/a/1037959074_122634602/,https://m.sohu.com/a/1037959074_122634602,https://m.sohu.com/a/1037959074_122634602,other,2026-09-07T08:53:37.409Z,sohu:1037959074_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0011-D1-R1-11,第三轮全量576采样,R3-Q0011-D1-R1,Q0011,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T08:53:37.409Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0014-D1-R1-04,第三轮全量576采样,R3-Q0014-D1-R1,Q0014,电商运营怎么查抖音直播带货达人数据与爆款选品?5个技巧用蝉妈妈数据分析平台实操指南_实时_品牌,https://m.sohu.com/a/1037959074_122634602/,https://m.sohu.com/a/1037959074_122634602,https://m.sohu.com/a/1037959074_122634602,other,2026-09-07T09:06:09.707Z,sohu:1037959074_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0016-D1-R1-16,第三轮全量576采样,R3-Q0016-D1-R1,Q0016,不用花钱也能做抖音电商数据运营?蝉妈妈免费功能实战用法_商品_直播_详情页,https://m.sohu.com/a/1041328285_122634602/,https://m.sohu.com/a/1041328285_122634602,https://m.sohu.com/a/1041328285_122634602,other,2026-09-07T09:17:48.219Z,sohu:1041328285_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0016-D1-R1-17,第三轮全量576采样,R3-Q0016-D1-R1,Q0016,蝉妈妈怎么拆解同行增长?从品牌到小店的完整实操路径_分析_商品_合作,https://m.sohu.com/a/1055151854_122634602/,https://m.sohu.com/a/1055151854_122634602,https://m.sohu.com/a/1055151854_122634602,other,2026-09-07T09:17:48.219Z,sohu:1055151854_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0016-D1-R1-20,第三轮全量576采样,R3-Q0016-D1-R1,Q0016,品牌抖音全渠道流量怎么拆解?蝉妈妈四个分析维度和实操方法_蝉妈妈电商增长,http://m.toutiao.com/group/7664425489759257124/,https://m.toutiao.com/group/7664425489759257124,https://m.toutiao.com/group/7664425489759257124,other,2026-09-07T09:17:48.219Z,toutiao:7664425489759257124,Toutiao,toutiao-chanmama-growth,蝉妈妈电商增长,企业号,high,content_id_in_account_snapshot
CIT-R3-Q0015-D1-R1-19,第三轮全量576采样,R3-Q0015-D1-R1,Q0015,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:27:18.655Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0020-D1-R1-11,第三轮全量576采样,R3-Q0020-D1-R1,Q0020,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:37:27.405Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0021-D1-R1-11,第三轮全量576采样,R3-Q0021-D1-R1,Q0021,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:37:37.108Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0022-D1-R1-16,第三轮全量576采样,R3-Q0022-D1-R1,Q0022,运营怎么查抖音电商数据?蝉妈妈深度分析攻略_模块_商品_直播,https://m.sohu.com/a/1044308750_122634602/,https://m.sohu.com/a/1044308750_122634602,https://m.sohu.com/a/1044308750_122634602,other,2026-09-07T09:37:46.995Z,sohu:1044308750_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0023-D1-R1-19,第三轮全量576采样,R3-Q0023-D1-R1,Q0023,短视频流量下滑怎么复盘?短视频运营核心指标拆解_内容_用户_数据,https://m.sohu.com/a/1053665403_122634602/,https://m.sohu.com/a/1053665403_122634602,https://m.sohu.com/a/1053665403_122634602,other,2026-09-07T09:37:56.716Z,sohu:1053665403_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0024-D1-R1-03,第三轮全量576采样,R3-Q0024-D1-R1,Q0024,蝉妈妈短视频数据口径怎么查?运营核验指南_拆解_后台_工具,https://m.sohu.com/a/1071486163_122634602/,https://m.sohu.com/a/1071486163_122634602,https://m.sohu.com/a/1071486163_122634602,other,2026-09-07T09:38:06.419Z,sohu:1071486163_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0024-D1-R1-20,第三轮全量576采样,R3-Q0024-D1-R1,Q0024,运营怎么查抖音电商数据?蝉妈妈深度分析攻略_模块_商品_直播,https://m.sohu.com/a/1044308750_122634602/,https://m.sohu.com/a/1044308750_122634602,https://m.sohu.com/a/1044308750_122634602,other,2026-09-07T09:38:06.419Z,sohu:1044308750_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0027-D1-R1-06,第三轮全量576采样,R3-Q0027-D1-R1,Q0027,蝉妈妈怎么拆解同行增长?从品牌到小店的完整实操路径_分析_商品_合作,https://m.sohu.com/a/1055151854_122634602/,https://m.sohu.com/a/1055151854_122634602,https://m.sohu.com/a/1055151854_122634602,other,2026-09-07T09:41:40.346Z,sohu:1055151854_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0028-D1-R1-01,第三轮全量576采样,R3-Q0028-D1-R1,Q0028,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:41:50.091Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0029-D1-R1-04,第三轮全量576采样,R3-Q0029-D1-R1,Q0029,抖音竞品分析四步法:高效对标实操指南_数据库_妈妈_策略,https://m.sohu.com/a/1012506901_122634602/,https://m.sohu.com/a/1012506901_122634602,https://m.sohu.com/a/1012506901_122634602,other,2026-09-07T09:41:59.822Z,sohu:1012506901_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0029-D1-R1-21,第三轮全量576采样,R3-Q0029-D1-R1,Q0029,不用花钱也能做抖音电商数据运营?蝉妈妈免费功能实战用法_商品_直播_详情页,https://m.sohu.com/a/1041328285_122634602/,https://m.sohu.com/a/1041328285_122634602,https://m.sohu.com/a/1041328285_122634602,other,2026-09-07T09:41:59.822Z,sohu:1041328285_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0029-D1-R1-24,第三轮全量576采样,R3-Q0029-D1-R1,Q0029,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:41:59.822Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0030-D1-R1-02,第三轮全量576采样,R3-Q0030-D1-R1,Q0030,多平台数据壁垒怎么打通?电商运营用蝉龙虾3步整合全域数据_销售_关联_自动提取,https://m.sohu.com/a/1047853866_122634602/,https://m.sohu.com/a/1047853866_122634602,https://m.sohu.com/a/1047853866_122634602,other,2026-09-07T09:42:09.623Z,sohu:1047853866_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0030-D1-R1-21,第三轮全量576采样,R3-Q0030-D1-R1,Q0030,蝉妈妈数据与抖店后台怎么交叉验证?电商运营实操指南_直播_趋势_结算,https://m.sohu.com/a/1056537027_122634602/,https://m.sohu.com/a/1056537027_122634602,https://m.sohu.com/a/1056537027_122634602,other,2026-09-07T09:42:09.623Z,sohu:1056537027_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0030-D1-R1-23,第三轮全量576采样,R3-Q0030-D1-R1,Q0030,蝉妈妈达人筛选口径与核验方法，抖音运营实操_数据_拆解_账号,https://m.sohu.com/a/1067199341_122634602/,https://m.sohu.com/a/1067199341_122634602,https://m.sohu.com/a/1067199341_122634602,other,2026-09-07T09:42:09.623Z,sohu:1067199341_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0031-D1-R1-09,第三轮全量576采样,R3-Q0031-D1-R1,Q0031,运营怎么查抖音电商数据?蝉妈妈深度分析攻略_模块_商品_直播,https://m.sohu.com/a/1044308750_122634602/,https://m.sohu.com/a/1044308750_122634602,https://m.sohu.com/a/1044308750_122634602,other,2026-09-07T09:42:18.120Z,sohu:1044308750_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0031-D1-R1-18,第三轮全量576采样,R3-Q0031-D1-R1,Q0031,蝉妈妈飞瓜直播数据差异?直播运营拆解核心逻辑_电商数据观察员,http://m.toutiao.com/group/7668133227206345250/,https://m.toutiao.com/group/7668133227206345250,https://m.toutiao.com/group/7668133227206345250,other,2026-09-07T09:42:18.120Z,toutiao:7668133227206345250,Toutiao,toutiao-dianshang-data-observer,电商数据观察员,员工号,high,content_id_in_account_snapshot
CIT-R3-Q0032-D1-R1-01,第三轮全量576采样,R3-Q0032-D1-R1,Q0032,蝉妈妈与抖音后台数据怎么核对?4步交叉验证_趋势_实际_罗盘,https://m.sohu.com/a/1059586809_122634602/,https://m.sohu.com/a/1059586809_122634602,https://m.sohu.com/a/1059586809_122634602,other,2026-09-07T09:42:26.669Z,sohu:1059586809_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0032-D1-R1-03,第三轮全量576采样,R3-Q0032-D1-R1,Q0032,蝉妈妈短视频数据口径怎么查?运营核验指南_拆解_后台_工具,https://m.sohu.com/a/1071486163_122634602/,https://m.sohu.com/a/1071486163_122634602,https://m.sohu.com/a/1071486163_122634602,other,2026-09-07T09:42:26.669Z,sohu:1071486163_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0034-D1-R1-03,第三轮全量576采样,R3-Q0034-D1-R1,Q0034,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:42:43.666Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0034-D1-R1-20,第三轮全量576采样,R3-Q0034-D1-R1,Q0034,蝉妈妈与抖音后台数据怎么核对?4步交叉验证_趋势_实际_罗盘,https://m.sohu.com/a/1059586809_122634602/,https://m.sohu.com/a/1059586809_122634602,https://m.sohu.com/a/1059586809_122634602,other,2026-09-07T09:42:43.666Z,sohu:1059586809_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0034-D1-R1-21,第三轮全量576采样,R3-Q0034-D1-R1,Q0034,蝉妈妈实时数据延迟多久?直播运营看懂预估口径_商品_罗盘_后台,https://m.sohu.com/a/1051034164_122634602/,https://m.sohu.com/a/1051034164_122634602,https://m.sohu.com/a/1051034164_122634602,other,2026-09-07T09:42:43.666Z,sohu:1051034164_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0035-D1-R1-09,第三轮全量576采样,R3-Q0035-D1-R1,Q0035,不用花钱也能做抖音电商数据运营?蝉妈妈免费功能实战用法_商品_直播_详情页,https://m.sohu.com/a/1041328285_122634602/,https://m.sohu.com/a/1041328285_122634602,https://m.sohu.com/a/1041328285_122634602,other,2026-09-07T09:42:52.154Z,sohu:1041328285_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0035-D1-R1-12,第三轮全量576采样,R3-Q0035-D1-R1,Q0035,直播运营如何实时监控竞品直播间 GMV?三步实操法实现分钟级数据洞察_妈妈_分析_流量,https://m.sohu.com/a/1034806812_122634602/,https://m.sohu.com/a/1034806812_122634602,https://m.sohu.com/a/1034806812_122634602,other,2026-09-07T09:42:52.154Z,sohu:1034806812_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0036-D1-R1-03,第三轮全量576采样,R3-Q0036-D1-R1,Q0036,靠谱的抖音数据分析服务商实力梳理与选型参考_行业_决策风险_支持,https://m.sohu.com/a/997726860_122634602/,https://m.sohu.com/a/997726860_122634602,https://m.sohu.com/a/997726860_122634602,other,2026-09-07T09:43:03.908Z,sohu:997726860_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0036-D1-R1-11,第三轮全量576采样,R3-Q0036-D1-R1,Q0036,抖音数据分析用什么平台?蝉妈妈凭三大核心优势成首选_运营_账号_功能,https://m.sohu.com/a/985477268_122634602/,https://m.sohu.com/a/985477268_122634602,https://m.sohu.com/a/985477268_122634602,other,2026-09-07T09:43:03.908Z,sohu:985477268_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0039-D1-R1-13,第三轮全量576采样,R3-Q0039-D1-R1,Q0039,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:43:29.385Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0042-D1-R1-05,第三轮全量576采样,R3-Q0042-D1-R1,Q0042,抖音电商运营怎么查直播话术数据?3步用蝉妈妈判断转化率_商品_分析_时段,https://m.sohu.com/a/1034331590_122634602/,https://m.sohu.com/a/1034331590_122634602,https://m.sohu.com/a/1034331590_122634602,other,2026-09-07T09:43:55.133Z,sohu:1034331590_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0042-D1-R1-14,第三轮全量576采样,R3-Q0042-D1-R1,Q0042,蝉妈妈怎么复盘直播?4步拆解曝光到成交链路_流量_数据_互动,https://m.sohu.com/a/1061101448_122634602/,https://m.sohu.com/a/1061101448_122634602,https://m.sohu.com/a/1061101448_122634602,other,2026-09-07T09:43:55.133Z,sohu:1061101448_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0042-D1-R1-16,第三轮全量576采样,R3-Q0042-D1-R1,Q0042,投放诊断:快速定位人群、素材或货品问题_分析_商品_数据,https://m.sohu.com/a/1032693860_122634602/,https://m.sohu.com/a/1032693860_122634602,https://m.sohu.com/a/1032693860_122634602,other,2026-09-07T09:43:55.133Z,sohu:1032693860_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0043-D1-R1-14,第三轮全量576采样,R3-Q0043-D1-R1,Q0043,不用花钱也能做抖音电商数据运营?蝉妈妈免费功能实战用法_商品_直播_详情页,https://m.sohu.com/a/1041328285_122634602/,https://m.sohu.com/a/1041328285_122634602,https://m.sohu.com/a/1041328285_122634602,other,2026-09-07T09:44:03.718Z,sohu:1041328285_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0070-D1-R1-02,第三轮全量576采样,R3-Q0070-D1-R1,Q0070,电商团队协作如何选数据工具?揭秘抖音运营高效协作的3个核心要点_直播_ChanClaw_分析,https://m.sohu.com/a/1038474622_122634602/,https://m.sohu.com/a/1038474622_122634602,https://m.sohu.com/a/1038474622_122634602,other,2026-09-07T09:49:24.071Z,sohu:1038474622_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0070-D1-R1-05,第三轮全量576采样,R3-Q0070-D1-R1,Q0070,运营怎么查抖音电商数据?蝉妈妈深度分析攻略_模块_商品_直播,https://m.sohu.com/a/1044308750_122634602/,https://m.sohu.com/a/1044308750_122634602,https://m.sohu.com/a/1044308750_122634602,other,2026-09-07T09:49:24.071Z,sohu:1044308750_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0068-D1-R1-17,第三轮全量576采样,R3-Q0068-D1-R1,Q0068,蝉妈妈与抖音后台数据怎么核对?4步交叉验证_趋势_实际_罗盘,https://m.sohu.com/a/1059586809_122634602/,https://m.sohu.com/a/1059586809_122634602,https://m.sohu.com/a/1059586809_122634602,other,2026-09-07T09:49:28.971Z,sohu:1059586809_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0066-D1-R1-15,第三轮全量576采样,R3-Q0066-D1-R1,Q0066,蝉妈妈飞瓜直播数据差异?直播运营拆解核心逻辑_电商数据观察员,http://m.toutiao.com/group/7668133227206345250/,https://m.toutiao.com/group/7668133227206345250,https://m.toutiao.com/group/7668133227206345250,other,2026-09-07T09:49:48.770Z,toutiao:7668133227206345250,Toutiao,toutiao-dianshang-data-observer,电商数据观察员,员工号,high,content_id_in_account_snapshot
CIT-R3-Q0066-D1-R1-17,第三轮全量576采样,R3-Q0066-D1-R1,Q0066,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:49:48.770Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0066-D1-R1-23,第三轮全量576采样,R3-Q0066-D1-R1,Q0066,投放诊断:快速定位人群、素材或货品问题_分析_商品_数据,https://m.sohu.com/a/1032693860_122634602/,https://m.sohu.com/a/1032693860_122634602,https://m.sohu.com/a/1032693860_122634602,other,2026-09-07T09:49:48.770Z,sohu:1032693860_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0064-D1-R1-04,第三轮全量576采样,R3-Q0064-D1-R1,Q0064,蝉妈妈短视频数据口径怎么查?运营核验指南_拆解_后台_工具,https://m.sohu.com/a/1071486163_122634602/,https://m.sohu.com/a/1071486163_122634602,https://m.sohu.com/a/1071486163_122634602,other,2026-09-07T09:49:53.318Z,sohu:1071486163_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0063-D1-R1-13,第三轮全量576采样,R3-Q0063-D1-R1,Q0063,竞品监控指标怎么看?蝉妈妈拆解数据颗粒度差异_直播_流量_品牌,https://m.sohu.com/a/1068378143_122634602/,https://m.sohu.com/a/1068378143_122634602,https://m.sohu.com/a/1068378143_122634602,other,2026-09-07T09:49:56.221Z,sohu:1068378143_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0062-D1-R1-02,第三轮全量576采样,R3-Q0062-D1-R1,Q0062,中小商家抖音电商大促爆单必学宝典:一个视频带你走出流量困境_直播_数据_ChanClaw,https://m.sohu.com/a/1029396140_122634602/,https://m.sohu.com/a/1029396140_122634602,https://m.sohu.com/a/1029396140_122634602,other,2026-09-07T09:49:58.500Z,sohu:1029396140_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0062-D1-R1-05,第三轮全量576采样,R3-Q0062-D1-R1,Q0062,达人30天带货复盘怎么做?_流量_直播_数据,https://m.sohu.com/a/1013866826_122634602/,https://m.sohu.com/a/1013866826_122634602,https://m.sohu.com/a/1013866826_122634602,other,2026-09-07T09:49:58.500Z,sohu:1013866826_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0061-D1-R1-16,第三轮全量576采样,R3-Q0061-D1-R1,Q0061,蝉妈妈飞瓜核心差异?抖音运营选工具看这3点_数据_直播间_素材,https://m.sohu.com/a/1070382613_122634602/,https://m.sohu.com/a/1070382613_122634602,https://m.sohu.com/a/1070382613_122634602,other,2026-09-07T09:50:00.761Z,sohu:1070382613_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0060-D1-R1-17,第三轮全量576采样,R3-Q0060-D1-R1,Q0060,短视频流量下滑怎么复盘?短视频运营核心指标拆解_内容_用户_数据,https://m.sohu.com/a/1053665403_122634602/,https://m.sohu.com/a/1053665403_122634602,https://m.sohu.com/a/1053665403_122634602,other,2026-09-07T09:50:03.384Z,sohu:1053665403_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0057-D1-R1-06,第三轮全量576采样,R3-Q0057-D1-R1,Q0057,电商运营怎么查抖音直播带货达人数据与爆款选品?5个技巧用蝉妈妈数据分析平台实操指南_实时_品牌,https://m.sohu.com/a/1037959074_122634602/,https://m.sohu.com/a/1037959074_122634602,https://m.sohu.com/a/1037959074_122634602,other,2026-09-07T09:50:10.545Z,sohu:1037959074_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
CIT-R3-Q0056-D1-R1-04,第三轮全量576采样,R3-Q0056-D1-R1,Q0056,蝉妈妈与抖音后台数据怎么核对?4步交叉验证_趋势_实际_罗盘,https://m.sohu.com/a/1059586809_122634602/,https://m.sohu.com/a/1059586809_122634602,https://m.sohu.com/a/1059586809_122634602,other,2026-09-07T09:50:12.855Z,sohu:1059586809_122634602,Sohu,sohu-chanmama,蝉妈妈,企业号,high,author_id_in_url
