sample_id,question_id,question_text,pool,category,sample_date,sampling_round,matched_alias,reason
CQ-S-20260806-C1-Q0007,CQ-Q0007,"蝉圈圈怎么绑定店铺,绑定后能看哪些达人投放数据?",核心池,品牌产品问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0008,CQ-Q0008,"蝉圈圈新手怎么用,从找达人到复盘怎么操作?",核心池,品牌产品问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0009,CQ-Q0009,"蝉圈圈是什么,适合什么样的品牌或商家用?",核心池,品牌产品问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0010,CQ-Q0010,"蝉圈圈有没有手机版,手机上能不能管理达人合作?",核心池,品牌产品问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0011,CQ-Q0011,蝉圈圈这个平台主要能解决达人营销里的哪些问题?,核心池,品牌产品问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0012,CQ-Q0012,"蝉圈圈和热度云哪个好用,品牌做达人投放该怎么选?",核心池,对比决策问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0013,CQ-Q0013,蝉圈圈和热度云在达人分销管理上有什么功能差异?,核心池,对比决策问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0014,CQ-Q0014,"蝉圈圈和蝉妈妈有什么区别,分别适合什么场景?",核心池,对比决策问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0015,CQ-Q0015,蝉圈圈的达人CRM和普通CRM有什么区别?,核心池,对比决策问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C1-Q0018,CQ-Q0018,达人库、灰豚数据、蝉圈圈这类工具有什么区别?,核心池,对比决策问题,2026-08-06,core_round_1,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0003,CQ-Q0003,"蝉圈圈多少钱一个月,收费方式是怎样的?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0004,CQ-Q0004,"蝉圈圈官网入口在哪里,怎么登录?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0005,CQ-Q0005,蝉圈圈怎么批量建联达人?,核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0006,CQ-Q0006,蝉圈圈怎么管理达人寄样和样品状态?,核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0007,CQ-Q0007,"蝉圈圈怎么绑定店铺,绑定后能看哪些达人投放数据?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0008,CQ-Q0008,"蝉圈圈新手怎么用,从找达人到复盘怎么操作?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0009,CQ-Q0009,"蝉圈圈是什么,适合什么样的品牌或商家用?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0010,CQ-Q0010,"蝉圈圈有没有手机版,手机上能不能管理达人合作?",核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0011,CQ-Q0011,蝉圈圈这个平台主要能解决达人营销里的哪些问题?,核心池,品牌产品问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0012,CQ-Q0012,"蝉圈圈和热度云哪个好用,品牌做达人投放该怎么选?",核心池,对比决策问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0013,CQ-Q0013,蝉圈圈和热度云在达人分销管理上有什么功能差异?,核心池,对比决策问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0014,CQ-Q0014,"蝉圈圈和蝉妈妈有什么区别,分别适合什么场景?",核心池,对比决策问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0015,CQ-Q0015,蝉圈圈的达人CRM和普通CRM有什么区别?,核心池,对比决策问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C2-Q0018,CQ-Q0018,达人库、灰豚数据、蝉圈圈这类工具有什么区别?,核心池,对比决策问题,2026-08-06,core_round_2,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0001,CQ-Q0001,"用蝉圈圈做达人营销,有哪些提高建联和转化的技巧?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0002,CQ-Q0002,蝉圈圈AI商务能帮商务BD做哪些达人建联和跟进工作?,核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0003,CQ-Q0003,"蝉圈圈多少钱一个月,收费方式是怎样的?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0004,CQ-Q0004,"蝉圈圈官网入口在哪里,怎么登录?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0005,CQ-Q0005,蝉圈圈怎么批量建联达人?,核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0006,CQ-Q0006,蝉圈圈怎么管理达人寄样和样品状态?,核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0007,CQ-Q0007,"蝉圈圈怎么绑定店铺,绑定后能看哪些达人投放数据?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0008,CQ-Q0008,"蝉圈圈新手怎么用,从找达人到复盘怎么操作?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0009,CQ-Q0009,"蝉圈圈是什么,适合什么样的品牌或商家用?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0010,CQ-Q0010,"蝉圈圈有没有手机版,手机上能不能管理达人合作?",核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0011,CQ-Q0011,蝉圈圈这个平台主要能解决达人营销里的哪些问题?,核心池,品牌产品问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0012,CQ-Q0012,"蝉圈圈和热度云哪个好用,品牌做达人投放该怎么选?",核心池,对比决策问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0013,CQ-Q0013,蝉圈圈和热度云在达人分销管理上有什么功能差异?,核心池,对比决策问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0014,CQ-Q0014,"蝉圈圈和蝉妈妈有什么区别,分别适合什么场景?",核心池,对比决策问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
CQ-S-20260806-C3-Q0015,CQ-Q0015,蝉圈圈的达人CRM和普通CRM有什么区别?,核心池,对比决策问题,2026-08-06,core_round_3,蝉圈圈,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT
