audit_id,brand_key,brand_label,sample_id,question_id,excluded_cqq_brand_question,exclusion_reason,recommendation_applicable,mentioned,mention_decision,ambiguous_alias,reviewer_1_recommendation_decision,reviewer_2_recommendation_decision,final_recommendation_decision,recommendation_order,target_rank,third_party_candidate,reviewer_1_advantage_decision,reviewer_2_advantage_decision,final_advantage_decision,evidence_quote,rule_version,notes
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0007,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0007,CQ-Q0007,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0008,hotduyun,热度云,CQ-S-20260805-C1-Q0008,CQ-Q0008,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0008,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0008,CQ-Q0008,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0009,hotduyun,热度云,CQ-S-20260805-C1-Q0009,CQ-Q0009,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,not_applicable,not_applicable,not_applicable,[],,true,unclear,unclear,not_applicable,如果你需要，我可以帮你对比蝉圈圈 vs 飞瓜智星 vs 热度云的选型要点。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0009,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0009,CQ-Q0009,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,not_applicable,not_applicable,not_applicable,[],,true,unclear,unclear,not_applicable,如果你需要，我可以帮你对比蝉圈圈 vs 飞瓜智星 vs 热度云的选型要点。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0010,hotduyun,热度云,CQ-S-20260805-C1-Q0010,CQ-Q0010,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0010,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0010,CQ-Q0010,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0011,hotduyun,热度云,CQ-S-20260805-C1-Q0011,CQ-Q0011,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0011,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0011,CQ-Q0011,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0012,hotduyun,热度云,CQ-S-20260805-C1-Q0012,CQ-Q0012,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,unclear,unclear,not_applicable,[],,true,pass,pass,not_applicable,如果以纯分销、团长撮合、联盟跑量为主：优先热度云。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0012,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0012,CQ-Q0012,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,unclear,unclear,not_applicable,[],,true,fail,unclear,not_applicable,如果同时要做快手、视频号多平台投放，可以再看飞瓜智星做备选。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0013,hotduyun,热度云,CQ-S-20260805-C1-Q0013,CQ-Q0013,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,true,mentioned,false,ranked,ranked,not_applicable,[],,true,pass,pass,not_applicable,简单说：如果你的业务是品牌自播+自有BD，还要做小红书，优先蝉圈圈；如果你要大规模铺KOC分销、大量BD，要对接团长抖客渠道，优先热度云。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0013,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0013,CQ-Q0013,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,简单说：如果你的业务是品牌自播+自有BD，还要做小红书，优先蝉圈圈；如果你要大规模铺KOC分销、大量BD，要对接团长抖客渠道，优先热度云。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0014,hotduyun,热度云,CQ-S-20260805-C1-Q0014,CQ-Q0014,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0014,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0014,CQ-Q0014,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0015,hotduyun,热度云,CQ-S-20260805-C1-Q0015,CQ-Q0015,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,如果团队大量做短视频种草、达人直播带货，BD几十到上千达人：普通CRM只能当简单通讯录，履约、寄样、数据统计全部要手动补；优先蝉圈圈这类垂直达人CRM，开箱即用，不用二次开发。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0015,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0015,CQ-Q0015,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,如果团队大量做短视频种草、达人直播带货，BD几十到上千达人：普通CRM只能当简单通讯录，履约、寄样、数据统计全部要手动补；优先蝉圈圈这类垂直达人CRM，开箱即用，不用二次开发。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0016,hotduyun,热度云,CQ-S-20260805-C1-Q0016,CQ-Q0016,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,pass,unclear,unclear,热度云：抖音为主，性价比高，适合中小体量品牌。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0016,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0016,CQ-Q0016,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,pass,unclear,unclear,飞瓜智星：跨平台均衡（抖音/小红书/快手/视频号）；数据生态完整；适合多平台布局的品牌团队。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0017,hotduyun,热度云,CQ-S-20260805-C1-Q0017,CQ-Q0017,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,unclear,unclear,unclear,热度云：侧重抖音达人管理，性价比中等。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0017,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0017,CQ-Q0017,false,,true,true,mentioned,false,ranked,ranked,ranked,"[""精选联盟"",""蝉圈圈"",""飞瓜智星""]",3,true,pass,pass,pass,只做抖音小店达人带货 优先抖音精选联盟，搭配蝉圈圈/飞瓜智星做达人管理,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0018,hotduyun,热度云,CQ-S-20260805-C1-Q0018,CQ-Q0018,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0018,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0018,CQ-Q0018,true,QUESTION_DIRECTLY_TARGETS_CQQ_BRAND_OR_PRODUCT,false,false,absent,false,absent,absent,not_applicable,[],,true,fail,fail,not_applicable,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0019,hotduyun,热度云,CQ-S-20260805-C1-Q0019,CQ-Q0019,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0019,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0019,CQ-Q0019,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0020,hotduyun,热度云,CQ-S-20260805-C1-Q0020,CQ-Q0020,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0020,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0020,CQ-Q0020,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,pass,unclear,unclear,同时做多平台：飞瓜智星、新抖等第三方；,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0021,hotduyun,热度云,CQ-S-20260805-C1-Q0021,CQ-Q0021,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0021,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0021,CQ-Q0021,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0022,hotduyun,热度云,CQ-S-20260805-C1-Q0022,CQ-Q0022,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0022,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0022,CQ-Q0022,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0023,hotduyun,热度云,CQ-S-20260805-C1-Q0023,CQ-Q0023,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0023,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0023,CQ-Q0023,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0024,hotduyun,热度云,CQ-S-20260805-C1-Q0024,CQ-Q0024,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0024,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0024,CQ-Q0024,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0025,hotduyun,热度云,CQ-S-20260805-C1-Q0025,CQ-Q0025,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0025,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0025,CQ-Q0025,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0026,hotduyun,热度云,CQ-S-20260805-C1-Q0026,CQ-Q0026,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0026,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0026,CQ-Q0026,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0027,hotduyun,热度云,CQ-S-20260805-C1-Q0027,CQ-Q0027,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0027,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0027,CQ-Q0027,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0028,hotduyun,热度云,CQ-S-20260805-C1-Q0028,CQ-Q0028,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0028,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0028,CQ-Q0028,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0029,hotduyun,热度云,CQ-S-20260805-C1-Q0029,CQ-Q0029,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,pass,unclear,unclear,热度云,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0029,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0029,CQ-Q0029,false,,true,true,mentioned,false,ranked,ranked,ranked,"[""飞瓜智星""]",1,true,pass,pass,pass,如果抖音+快手+小红书+视频号多平台 → 优先飞瓜智星,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0030,hotduyun,热度云,CQ-S-20260805-C1-Q0030,CQ-Q0030,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0030,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0030,CQ-Q0030,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0031,hotduyun,热度云,CQ-S-20260805-C1-Q0031,CQ-Q0031,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0031,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0031,CQ-Q0031,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0032,hotduyun,热度云,CQ-S-20260805-C1-Q0032,CQ-Q0032,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0032,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0032,CQ-Q0032,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0033,hotduyun,热度云,CQ-S-20260805-C1-Q0033,CQ-Q0033,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,unclear,unclear,unclear,热度云,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0033,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0033,CQ-Q0033,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,unclear,unclear,unclear,飞瓜智星,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0034,hotduyun,热度云,CQ-S-20260805-C1-Q0034,CQ-Q0034,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0034,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0034,CQ-Q0034,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0035,hotduyun,热度云,CQ-S-20260805-C1-Q0035,CQ-Q0035,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0035,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0035,CQ-Q0035,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0036,hotduyun,热度云,CQ-S-20260805-C1-Q0036,CQ-Q0036,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0036,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0036,CQ-Q0036,false,,true,false,absent,false,absent,absent,absent,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0037,hotduyun,热度云,CQ-S-20260805-C1-Q0037,CQ-Q0037,false,,true,false,absent,false,absent,absent,absent,[],,true,fail,fail,fail,优先官方后台（星图、蒲公英）：数据合规，中小商家首选，跟进靠人工+表格/CRM做提醒。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0037,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0037,CQ-Q0037,false,,true,true,mentioned,false,unclear,unclear,unclear,[],,true,pass,unclear,unclear,1.飞瓜智星 / 蝉圈圈,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0038,hotduyun,热度云,CQ-S-20260805-C1-Q0038,CQ-Q0038,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0038,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0038,CQ-Q0038,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0039,hotduyun,热度云,CQ-S-20260805-C1-Q0039,CQ-Q0039,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0039,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0039,CQ-Q0039,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0040,hotduyun,热度云,CQ-S-20260805-C1-Q0040,CQ-Q0040,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,true,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0040,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0040,CQ-Q0040,false,,false,true,mentioned,false,not_applicable,not_applicable,not_applicable,[],,true,pass,pass,pass,优先选择国内综合型达人营销SaaS（蝉圈圈、飞瓜智星、小青苔、CloudKOL等）。,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-hotduyun-CQ-S-20260805-C1-Q0041,hotduyun,热度云,CQ-S-20260805-C1-Q0041,CQ-Q0041,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
COMP-feigua_zhixing-CQ-S-20260805-C1-Q0041,feigua_zhixing,飞瓜星图,CQ-S-20260805-C1-Q0041,CQ-Q0041,false,,false,false,absent,false,not_applicable,not_applicable,not_applicable,[],,false,fail,fail,fail,,CQQ-COMPETITIVE-BRAND-V1-20260807,
