citation_id,sample_id,question_id,question,category,source_name,source_type,normalized_url,domain,raw_mentions
CMCR-CIT-32885F1C18706F6A2B2CFCB9,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7637364679930031465,iesdouyin.com,5
CMCR-CIT-E92BCD6F8DB1EA4651B9A03E,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,今日头条,other,http://m.toutiao.com/group/7664801420490605075,m.toutiao.com,1
CMCR-CIT-35151CB479F2553F3853BD83,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7673346499589390185,iesdouyin.com,1
CMCR-CIT-6543ED4EA268F7BAD059163F,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,短视频智能编导软件_短视频AI智能创作平台-蝉妈妈·AI创意大师,official_direct,https://cy.chanmama.com/tools/intelligentDirecting/landing,cy.chanmama.com,1
CMCR-CIT-BD3C9A380D3354431A0307EC,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7665273504229823930,iesdouyin.com,2
CMCR-CIT-0B319CCF6FFDE74562C5A3A1,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,淘宝,other,https://goods.taobao.com/t/fuzhuangpinpai_16952/9a65df9f1353f215ff1c0716b71b5ab9.html,goods.taobao.com,1
CMCR-CIT-4863D4DF8261D52A0E8320CC,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7663784891943436672,iesdouyin.com,1
CMCR-CIT-DD660FBCEBD4960022B9EC5E,CMCR-CMP-20260819-C1-Q0002,CMCR-Q0002,蝉妈妈创意和蝉妈妈有什么区别？分别适合什么使用场景？,对比决策问题,蝉妈妈创作工具_一键生成_电商智能写作助手 - 蝉妈妈数据,associated_product,https://tools.chanmama.com/,tools.chanmama.com,1
CMCR-CIT-8DBA1758681C97001E3FF283,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,3
CMCR-CIT-1B87B52E5CAC57311A9C93CD,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,新浪财经,other,https://t.cj.sina.cn/articles/view/6673338004/18dc30e9400102pmkk,t.cj.sina.cn,1
CMCR-CIT-A5246814859F6D5F0EBDBB90,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7672612533589212559,iesdouyin.com,1
CMCR-CIT-8761E391E16E820F039345D6,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7652196197238883178,iesdouyin.com,2
CMCR-CIT-E27F5BC18BB2C63C9C5B6046,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7654146833845144683,iesdouyin.com,1
CMCR-CIT-36B9FB9A7D1140F4A1DF165F,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,搜狐,media,https://m.sohu.com/a/1040976966_122634602,m.sohu.com,1
CMCR-CIT-D03C98DE3B8C214507B3EE08,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,搜狐,media,https://m.sohu.com/a/1038474622_122634602,m.sohu.com,1
CMCR-CIT-F4E7771BDC19A060C8D2F3CE,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,蝉氪:蝉妈妈旗下品牌数字资产创作管理平台 - 站长工具网,other,https://zhanid.com/daohang/chanke.html,zhanid.com,1
CMCR-CIT-F9A333CAA4C5E852E276BFC1,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,品牌主场,other,https://biz.ifeng.com/c/8uBkhwpMnTo,biz.ifeng.com,1
CMCR-CIT-BF17129CB414B66F0ECCC871,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,最大化千川ROI:有米有数相比蝉妈妈的独特优势,other,https://resources.youcloud.com/youshu/blog/2502,resources.youcloud.com,1
CMCR-CIT-57749526898DA9F30DE2F1BF,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,搜狐,media,https://m.sohu.com/a/1054127780_122634602,m.sohu.com,1
CMCR-CIT-A3EF0A1F45765AE16C9489F3,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,搜狐,media,https://m.sohu.com/a/1043282400_122634602,m.sohu.com,1
CMCR-CIT-B41523B78BFC10889A1D72A6,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,抖音,other,https://iesdouyin.com/share/video/7673346499589390185,iesdouyin.com,1
CMCR-CIT-0AF7F973960C166BD7F50E0D,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,网易新闻客户端,media,https://c.m.163.com/news/a/L2GUIA160556OFA0.html,c.m.163.com,1
CMCR-CIT-61049B035A933E40A6906D83,CMCR-CMP-20260819-C1-Q0006,CMCR-Q0006,蝉妈妈创意能不能帮团队从找素材、AI 创作到投放复盘都打通？,案例/效果问题,今日头条,other,http://m.toutiao.com/group/7648964656593191460,m.toutiao.com,1
CMCR-CIT-14D9455719A0B47CA16DBF32,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,2
CMCR-CIT-D7DAEF353191920E7B8F2F6F,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,搜狐,media,https://m.sohu.com/a/1054127780_122634602,m.sohu.com,1
CMCR-CIT-1ECA79B88D276981B25D5E0B,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7673346499589390185,iesdouyin.com,1
CMCR-CIT-A150347A0C151EE058A2FADB,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,短视频智能编导软件_短视频AI智能创作平台-蝉妈妈·AI创意大师,official_direct,https://cy.chanmama.com/tools/intelligentDirecting/landing,cy.chanmama.com,1
CMCR-CIT-298A4732BA38F333C86186E8,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7655248826547551717,iesdouyin.com,1
CMCR-CIT-B78F24BA654F6176DC10C7DF,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,SaaS内容营销负责人职责_蝉妈妈2026年SaaS内容营销负责人岗位职责-BOSS直聘,other,https://m.zhipin.com/job_detail/c21de08a04a72f66031_3NW0EFRR.html,m.zhipin.com,1
CMCR-CIT-5D4240FAF2A7C5FBE5201722,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/awemeDetail/VyKFVgQ27nGkreyf9c2j9JhmIfEVyuvo.html,cy.chanmama.com,1
CMCR-CIT-3DDEB0515DD60D3E73F1CA6D,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,搜狐,media,https://m.sohu.com/a/1040976966_122634602,m.sohu.com,1
CMCR-CIT-F0DFE9A453A99BFFF33C8741,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,淘宝,other,https://goods.taobao.com/t/daiyunying_16960/a7fab80b129e0e934314bf40f732033b.html,goods.taobao.com,2
CMCR-CIT-ABF66EA6B7B8FBC074083592,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,深度赋能电商商家，蝉妈妈 ChanClaw 蝉龙虾打造AI电商数字员工解决方案_极客网,other,https://fromgeek.com/daily/1044-721628.html,fromgeek.com,1
CMCR-CIT-7DBEF17E726552D0C9992E8E,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,蝉妈妈创作工具_一键生成_电商智能写作助手 - 蝉妈妈数据,associated_product,https://tools.chanmama.com/,tools.chanmama.com,1
CMCR-CIT-C893D31611827D52521FF836,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,今日头条,other,http://m.toutiao.com/group/7675249024403817001,m.toutiao.com,1
CMCR-CIT-67EF81F61F869CC5752D4BEC,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,蝉氪:蝉妈妈旗下品牌数字资产创作管理平台 - 站长工具网,other,https://zhanid.com/daohang/chanke.html,zhanid.com,1
CMCR-CIT-E26FAC98D6F2FAC1EDD37870,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,搜狐,media,https://m.sohu.com/a/1038474622_122634602,m.sohu.com,1
CMCR-CIT-1BF45D3FB07FA34ABE1E9757,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,今日头条,other,http://m.toutiao.com/group/7654056752903635465,m.toutiao.com,1
CMCR-CIT-BB07C8BF2CC59238AC2E3497,CMCR-CMP-20260819-C1-Q0008,CMCR-Q0008,蝉妈妈创意能不能同时满足编导、剪辑、投手和内容负责人使用？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/management-center,cy.chanmama.com,1
CMCR-CIT-1C80B1D2B145D6C51E8F23DF,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,2
CMCR-CIT-AED96936598ABE27F0D8D605,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,AI图片生成软件_AI电商商品图片生成软件-蝉妈妈AI,associated_product,https://ai.chanmama.com/product/pictureGenerate,ai.chanmama.com,1
CMCR-CIT-CE678604E590172E81AE12AF,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7579969925041979770,iesdouyin.com,2
CMCR-CIT-7358812B4F33D9C4510BAB76,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7651573407007444260,iesdouyin.com,2
CMCR-CIT-190F95550E6D61A01BA1756A,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,搜狐,media,https://m.sohu.com/a/1005042568_122634602,m.sohu.com,1
CMCR-CIT-3537DE0D2BFFE0DCA9C2D768,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7579250176615861519,iesdouyin.com,2
CMCR-CIT-53920289C3259BA523FA2AE4,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7579973423451983130,iesdouyin.com,3
CMCR-CIT-65DF47B17B44567D464E4263,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7604709960135626019,iesdouyin.com,1
CMCR-CIT-04964C2569A19B728666EB40,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,AI商品视频生成工具_电商商品视频生成AI软件-蝉妈妈AI,associated_product,https://ai.chanmama.com/product/filmGoodsGenerate,ai.chanmama.com,1
CMCR-CIT-A78367AF9D0A3E5BF21C0B2C,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7620780503125265704,iesdouyin.com,1
CMCR-CIT-9B129EF13FFC7AC5F9241E2D,CMCR-CMP-20260819-C1-Q0010,CMCR-Q0010,蝉妈妈创意大师不用写提示词，能不能用商品图生成带货素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7579552460918820111,iesdouyin.com,2
CMCR-CIT-A6A233B61F4AFD5DBF99B9A5,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,短视频智能编导软件_短视频AI智能创作平台-蝉妈妈·AI创意大师,official_direct,https://cy.chanmama.com/tools/intelligentDirecting/landing,cy.chanmama.com,2
CMCR-CIT-42F2C00171F3B7DE224105AB,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,新浪,other,https://cj.sina.cn/articles/view/6673338004/18dc30e9400102pmkk,cj.sina.cn,1
CMCR-CIT-8DD735B875177718FDFB2C2F,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,人人都是产品经理,other,https://woshipm.com/ai/5328460.html,woshipm.com,1
CMCR-CIT-5A3C0CCDBBD1AC694FDD8675,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7667106165910187237,iesdouyin.com,1
CMCR-CIT-3919D632BA7298C8C8338A07,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,CSDN博客,other,https://blog.csdn.net/m0_73190071/article/details/162006346,blog.csdn.net,2
CMCR-CIT-D631E58830DD057AA64D044B,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,剪映 - AI视频编辑与短视频创作工具 | 视频剪辑与后期处理平台 - AIToolsNav,other,https://aitoolsnav.cn/tool/949.html,aitoolsnav.cn,1
CMCR-CIT-F30E4EB62ECEDB38D7BA6105,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,1
CMCR-CIT-B666D591FCA3BE69F0060870,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7620780503125265704,iesdouyin.com,1
CMCR-CIT-90D5C2F678C7C66F0DA14D99,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,搜狐,media,https://m.sohu.com/a/1005042568_122634602,m.sohu.com,1
CMCR-CIT-A5693670237DFE00974108BF,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,电商AI软件_AI工具集官网 | 蝉妈妈·AI创意大师 | 创意大师,official_direct,https://ad.chanmama.com/tools-index,ad.chanmama.com,1
CMCR-CIT-5C652BB6E84B1ABFD8274F27,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,创意大师,official_direct,https://ad.chanmama.com/vip,ad.chanmama.com,1
CMCR-CIT-2AA87658B47C8D172D78E17B,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,剪映官网-剪映AI 创作无限新可能,other,https://jianying.com/,jianying.com,1
CMCR-CIT-7F53110B7067AB5899F9F66D,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,剪映AI功能完全使用教程2026:从智能剪辑到数字人播报，14个功能让你告别手动剪视频,other,https://aitoollab.cn/articles/jianying-ai-tutorial-2026,aitoollab.cn,1
CMCR-CIT-5BB17398C5CAA4AA56784841,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7645869691692879845,iesdouyin.com,1
CMCR-CIT-A26E4AAFEE5F68E87FE5165C,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7605862003924291578,iesdouyin.com,2
CMCR-CIT-AA84E49FB07AA11AC05C4B39,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,抖音,other,https://iesdouyin.com/share/video/7617784297633746211,iesdouyin.com,1
CMCR-CIT-04C2DB5DA4648754CED8F12F,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,36氪,media,https://36kr.com/p/3886403765596418,36kr.com,1
CMCR-CIT-D189A86440DD50C09B00C6CE,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,CSDN博客,other,https://blog.csdn.net/m0_70267002/article/details/147893866,blog.csdn.net,1
CMCR-CIT-07B05E524399C928EE1DA22E,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,Medeo AI: 在线AI视频生成制作工具平台 - 爱图工具箱,other,https://itutool.com/sites/medeo-ai,itutool.com,1
CMCR-CIT-1778E29B7343DDF914C540EE,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,CSDN博客,other,https://blog.csdn.net/qq_44866828/article/details/152782352,blog.csdn.net,1
CMCR-CIT-FCEC2B8811CF776D9F3C9B70,CMCR-CMP-20260819-C1-Q0011,CMCR-Q0011,蝉妈妈创意大师和普通 AI 视频工具、剪映 AI 有什么区别？,对比决策问题,Best AI Video Platforms: Top 12 Solutions in 2026,other,https://corp.kaltura.com/blog/ai-video-platforms,corp.kaltura.com,1
CMCR-CIT-5BE4AEDEBDA6DE5D2FA48DE4,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/inspiration-center,cy.chanmama.com,2
CMCR-CIT-C0520329172AE35F9937248E,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7507631686138776892,iesdouyin.com,1
CMCR-CIT-BA825EED8D3B96EA9CB2BC4B,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7671125598165101417,iesdouyin.com,1
CMCR-CIT-E8114A3659AC9253D2D92614,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7672653329998968229,iesdouyin.com,1
CMCR-CIT-951C63239D46B33FB54025E3,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7661849688374683382,iesdouyin.com,1
CMCR-CIT-7BEE3762DC55A0753FC08334,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7670121568526603508,iesdouyin.com,1
CMCR-CIT-EDA89BD68C12E9CC5D230755,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,蝉妈妈·创意 - 千川投放素材_短视频素材创意服务平台,official_direct,https://cy.chanmama.com/,cy.chanmama.com,1
CMCR-CIT-83D58AE487ACDCA5C6DFF6D9,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,抖音,other,https://iesdouyin.com/share/video/7660062306659373563,iesdouyin.com,1
CMCR-CIT-9F967FB48BF2A9F110B01AB9,CMCR-CMP-20260819-C1-Q0012,CMCR-Q0012,蝉妈妈创意灵感中心怎么找爆款素材并追踪同行新投素材？,品牌产品问题,新浪财经,other,https://t.cj.sina.cn/articles/view/6673338004/18dc30e9400102pmkk,t.cj.sina.cn,1
