domain,citations,event_share_pct,urls,answers,questions,type,owner,bytedance,external_partner_candidate
yun88.com,7,0.11,3,7,7,其他外部来源,所有者未核实,False,False
beacon.cn,6,0.1,1,6,6,其他外部来源,所有者未核实,False,False
eastmoney.com,6,0.1,2,6,5,其他外部来源,所有者未核实,False,False
juejin.cn,6,0.1,5,5,4,社区/博客/问答,外部平台,False,False
meipian.cn,6,0.1,3,5,3,其他外部来源,所有者未核实,False,False
qian-gua.com,6,0.1,4,3,2,其他外部来源,所有者未核实,False,False
tt123.com,6,0.1,2,5,5,其他外部来源,所有者未核实,False,False
woshipm.com,6,0.1,6,6,6,社区/博客/问答,外部平台,False,False
xingtu.cn,6,0.1,3,6,6,其他外部来源,所有者未核实,False,False
yitongweb.cn,6,0.1,3,5,4,其他外部来源,所有者未核实,False,False
youwant.cn,6,0.1,4,5,4,其他外部来源,所有者未核实,False,False
dashboardly.io,5,0.08,3,5,4,其他外部来源,所有者未核实,False,False
findlaw.cn,5,0.08,3,5,4,其他外部来源,所有者未核实,False,False
shangjiazhushou.com,5,0.08,2,5,4,其他外部来源,所有者未核实,False,False
vkssl.com,5,0.08,1,5,3,其他外部来源,所有者未核实,False,False
aliyun.com,4,0.07,3,4,4,其他外部来源,所有者未核实,False,False
douyinstatic.com,4,0.07,3,3,2,其他外部来源,所有者未核实,False,False
draftstatic.com,4,0.07,3,4,3,其他外部来源,所有者未核实,False,False
fmyly.com,4,0.07,1,4,4,其他外部来源,所有者未核实,False,False
ganhuoku.cn,4,0.07,2,4,3,其他外部来源,所有者未核实,False,False
itotii.com,4,0.07,1,4,3,其他外部来源,所有者未核实,False,False
jijyun.cn,4,0.07,4,3,3,其他外部来源,所有者未核实,False,False
mydropai.com,4,0.07,1,4,4,其他外部来源,所有者未核实,False,False
qituowang.com,4,0.07,2,4,3,其他外部来源,所有者未核实,False,False
shangyexinzhi.com,4,0.07,2,4,3,其他外部来源,所有者未核实,False,False
shortimize.com,4,0.07,2,4,3,其他外部来源,所有者未核实,False,False
sskoo.com,4,0.07,3,3,3,其他外部来源,所有者未核实,False,False
zhiyitech.cn,4,0.07,1,4,2,其他外部来源,所有者未核实,False,False
zncdw.com,4,0.07,1,4,2,其他外部来源,所有者未核实,False,False
36dianping.com,3,0.05,3,3,3,其他外部来源,所有者未核实,False,False
ai-321.cn,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
ai-tab.cn,3,0.05,1,3,2,其他外部来源,所有者未核实,False,False
baike.com,3,0.05,2,3,2,其他外部来源,所有者未核实,False,False
bgrdh.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
cometly.com,3,0.05,3,3,3,其他外部来源,所有者未核实,False,False
d-long.cn,3,0.05,1,3,1,其他外部来源,所有者未核实,False,False
daduoduo.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
dfcfw.com,3,0.05,3,3,3,其他外部来源,所有者未核实,False,False
docin.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
ecomaidaily.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
encootech.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
githubusercontent.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
improvado.io,3,0.05,2,3,3,其他外部来源,所有者未核实,False,False
itying.com,3,0.05,1,3,2,其他外部来源,所有者未核实,False,False
liebiao.com,3,0.05,2,3,2,其他外部来源,所有者未核实,False,False
ly3721.com,3,0.05,1,3,2,其他外部来源,所有者未核实,False,False
lywh0635.com,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
pidoutv.com,3,0.05,3,3,3,其他外部来源,所有者未核实,False,False
tencent.com.cn,3,0.05,2,3,2,其他外部来源,所有者未核实,False,False
xinstall.com,3,0.05,2,3,2,其他外部来源,所有者未核实,False,False
xunmiwang.cn,3,0.05,3,3,3,其他外部来源,所有者未核实,False,False
yixiaoer.cn,3,0.05,1,3,3,其他外部来源,所有者未核实,False,False
zhanid.com,3,0.05,2,3,3,其他外部来源,所有者未核实,False,False
zonflip.com,3,0.05,2,3,2,其他外部来源,所有者未核实,False,False
100ec.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
7starsai.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
admapix.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
aimultiple.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
ali213.net,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
at592.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
busionline.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
chaoyunying.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
chinadaily.com.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
chinanews.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
chrome-stats.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
diantuoyi.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
encoo.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
fanqienovel.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
fastmoss.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
fromgeek.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
glnav.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
goodgq.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
guofenkong.com,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
hashmeta.com,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
hefeirencai.cn,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
heidh.com,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
ifeng.com,2,0.03,2,2,2,新闻/门户/自媒体,媒体平台,False,False
imatx.com,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
infoq.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
jiandaoyun.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
jinghuiyue.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
jiuquan.cc,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
jzd.cc,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
k73.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
kawo.com,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
keyapi.ai,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
kitoken.cn,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
lawtime.cn,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
luoluo.help,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
maibaba.cn,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
micount.cn,2,0.03,2,1,1,其他外部来源,所有者未核实,False,False
niaogebiji.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
pcsoft.com.cn,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
reelmind.ai,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
reportify.cn,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
s-hub.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
spaceads.agency,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
techieevent.com,2,0.03,1,2,2,其他外部来源,所有者未核实,False,False
tencent.cn,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
tencent.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
thepaper.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
tidenews.com.cn,2,0.03,2,1,1,其他外部来源,所有者未核实,False,False
tikhub.io,2,0.03,2,1,1,其他外部来源,所有者未核实,False,False
ufcn.cn,2,0.03,1,2,1,其他外部来源,所有者未核实,False,False
usermaven.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
woshizmt.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
xiaoduoai.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
xinhuanet.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
xisence.com,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
zjurl.cn,2,0.03,2,2,2,其他外部来源,所有者未核实,False,False
21jingji.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
25pp.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
289.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
2i1i.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
32r.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
3456.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
5188xm.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
52by.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
52dsll.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
52xbw.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
56ok.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
87g.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
966o.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
a300.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
ac.th,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
adinnet.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
anaktekno.id,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
artificial-intelligence-wiki.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
benly.ai,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
biaoda.me,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
bigseller.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
bihukankan.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
bkill.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
bkweek.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
byerisk.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cctv.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
chandanmaxi.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
chinanews.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
chinaz.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
ciozj.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
civiw.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cjfuzhu.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
clearsightnow.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cmrnn.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cnr.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cr173.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
creatorinsights.in,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
cruva.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
dianpu.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
digate.ai,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
dlssyht.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
dtm.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
duntools.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
dzwww.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
echotik.live,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
faiusr.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
fenshuake.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
filmdaily.co,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
findmecreators.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
fkdmg.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
fxbaogao.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
gaiyiguo.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
gebidh.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
gongke.net,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
gongzuoliuai.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
guoji.pro,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
hailuoshe.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
hbqnbnews.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
htys123.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
huanqiu.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
hxrcon.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
iitang.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
influenceflow.io,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
influencermarketinghub.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
itopmarketing.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jiajutu.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jiezang.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jindage.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jingmen.gov.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jingzhunhuoke.net,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jiushuyun.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
jiuzhilan.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
junyikeji.net,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
kalodata.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
kaogujia.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
kedaxmt.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
kesion.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
kuaizhang.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
leyantech.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
liandongob.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
lieju.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
lifexue.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
linhedianshang.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
lookkle.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
lwzzlf.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
lyg1.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
maimai.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
mbalib.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
memories.ai,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
mgzxzs.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
milguo.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
mjzj.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
mobgi.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
moonfox.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
nexadata.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
niucoo.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
nowcoder.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
oeeee.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
okjike.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
ooty.io,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
openinstall.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
opus.pro,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
oryoy.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
peksun.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
polarwind.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
pp.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
producthunter.co,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
questmobile.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
rapidtok.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
regionecho.ru,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
repl.co,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
rlut.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
sdoufen.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
sellfox.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
sensorsdata.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
shangpu-china.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
shortsintel.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
shuaishou.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
sizhensoft.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
smartelite.club,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
so.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
sociavault.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
starngage.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
szxn.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tbadc.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
teng-ad.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tgsem.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
thunderbit.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tma999.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
topai.tools,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
trae.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
trendsmcp.ai,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tridigiam.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tui39.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tuokeba.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
tup.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
urbanads.media,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
viral.new,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
wangdian.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
website-files.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
woshiqian.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
xbin.vip,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
xdowns.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
xiaohuanxiong.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
xinlingshou.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
xxwhwl.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
yenb.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
yimeizhushou.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
yjpoo.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
yunduoketang.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zhenggui.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zhengjs.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zhiyitech.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zol.com.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zunduo.cn,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
zunxiangds.com,1,0.02,1,1,1,其他外部来源,所有者未核实,False,False
