citation_id,batch_id,sample_id,question_id,source_title,raw_url,normalized_url,final_url,source_group,captured_at,canonical_url,domain,platform_group,authority_class,source_owner,is_bytedance,is_douyin_video,douyin_video_id,question_type_primary,question_type_raw,content_format,content_structure,content_topic,methodology_attribute,owned_account,owned_registry_id,owned_confidence
CIT-R2-Q0026-D1-R1-11,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音巨量百应佣金提取记录-抖音,https://m.douyin.com/zhuanti/7354833549653985291,https://m.douyin.com/zhuanti/7354833549653985291,https://m.douyin.com/zhuanti/7354833549653985291,other,2026-08-03T05:24:05.380Z,https://m.douyin.com/zhuanti/7354833549653985291,douyin.com,抖音其他页面,平台官方页面,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0026-D1-R1-12,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音创作者中心后台管理 抖音内容管理全攻略-常见问题-PHP中文网,https://php.cn/faq/1860691.html,https://php.cn/faq/1860691.html,https://php.cn/faq/1860691.html,other,2026-08-03T05:24:05.380Z,https://php.cn/faq/1860691.html,php.cn,社区/博客/问答,UGC/专业社区,外部平台,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,综合运营/其他,是,,,
CIT-R2-Q0026-D1-R1-13,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音电商学习中心,https://school.jinritemai.com/doudian/wap/article/101805,https://school.jinritemai.com/doudian/wap/article/101805,https://school.jinritemai.com/doudian/wap/article/101805,other,2026-08-03T05:24:05.380Z,https://school.jinritemai.com/doudian/wap/article/101805,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0026-D1-R1-14,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,短视频平台设置水印、限制下载，第三方工具可以随意破解吗?- 正规网zhenggui.com,https://zhenggui.com/news/7039.html,https://zhenggui.com/news/7039.html,https://zhenggui.com/news/7039.html,other,2026-08-03T05:24:05.380Z,https://zhenggui.com/news/7039.html,zhenggui.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,短视频内容,否,,,
CIT-R2-Q0026-D1-R1-15,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,某某是什么-找法网,https://wap.findlaw.cn/wenda/q_60399428.html,https://wap.findlaw.cn/wenda/q_60399428.html,https://wap.findlaw.cn/wenda/q_60399428.html,other,2026-08-03T05:24:05.380Z,https://wap.findlaw.cn/wenda/q_60399428.html,findlaw.cn,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0026-D1-R1-16,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,关于修订《【不当获取/使用信息】细则》的公示通知,https://school.jinritemai.com/doudian/web/article/aJijoYGzDLJ5?biz_from=new_rules,https://school.jinritemai.com/doudian/web/article/aJijoYGzDLJ5?biz_from=new_rules,https://school.jinritemai.com/doudian/web/article/aJijoYGzDLJ5?biz_from=new_rules,other,2026-08-03T05:24:05.380Z,https://school.jinritemai.com/doudian/web/article/aJijoYGzDLJ5?biz_from=new_rules,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0026-D1-R1-17,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,2026抖店无货源上货工具避坑指南:三类工具风险较高，合规选型可参考这几点_违规_平台_规则,https://m.sohu.com/a/1045517576_122920632,https://m.sohu.com/a/1045517576_122920632,https://m.sohu.com/a/1045517576_122920632,other,2026-08-03T05:24:05.380Z,https://m.sohu.com/a/1045517576_122920632,sohu.com,新闻/门户/自媒体,媒体或自媒体平台,搜狐,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,店铺/商品/商城,是,,,
CIT-R2-Q0026-D1-R1-18,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖音数据采集技术指南:从基础认知到合规实战-CSDN博客,https://blog.csdn.net/gitblog_00041/article/details/157754306,https://blog.csdn.net/gitblog_00041/article/details/157754306,https://blog.csdn.net/gitblog_00041/article/details/157754306,other,2026-08-03T05:24:05.380Z,https://blog.csdn.net/gitblog_00041/article/details/157754306,csdn.net,社区/博客/问答,UGC/专业社区,外部平台,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0026-D1-R1-19,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,如何安全地实现抖音号多人协作运营?,https://shankongmao.com/content/news/17479,https://shankongmao.com/content/news/17479,https://shankongmao.com/content/news/17479,other,2026-08-03T05:24:05.380Z,https://shankongmao.com/content/news/17479,shankongmao.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,综合运营/其他,是,,,
CIT-R2-Q0026-D1-R1-20,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,AI智能工具篇:云图& 即创,https://school.jinritemai.com/doudian/wap/article/aJXFPbWWNceA,https://school.jinritemai.com/doudian/wap/article/aJXFPbWWNceA,https://school.jinritemai.com/doudian/wap/article/aJXFPbWWNceA,other,2026-08-03T05:24:05.380Z,https://school.jinritemai.com/doudian/wap/article/aJXFPbWWNceA,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,数据工具/分析,否,,,
CIT-R2-Q0026-D1-R1-21,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,企业员工子账号，精细权限管理多个抖音号_操作_运营_数据,https://m.sohu.com/a/998084058_122377374,https://m.sohu.com/a/998084058_122377374,https://m.sohu.com/a/998084058_122377374,other,2026-08-03T05:24:05.380Z,https://m.sohu.com/a/998084058_122377374,sohu.com,新闻/门户/自媒体,媒体或自媒体平台,搜狐,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0026-D1-R1-22,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,直播运营工具助力单人高效团队，人类决策不可替代,https://www.douyin.com/video/7533217500051590459,https://www.douyin.com/video/7533217500051590459,https://www.douyin.com/video/7533217500051590459,other,2026-08-03T05:24:05.380Z,https://www.douyin.com/video/7533217500051590459,douyin.com,抖音视频,创作者视频,字节跳动/头条系,是,是,7533217500051590459,工具推荐问题,工具对比型,视频,推荐/对比/清单,直播运营,否,,,
CIT-R2-Q0026-D1-R1-23,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,MCN机构必看!抖音多账号协同运营效率工具_神器_直播间_团队,https://m.sohu.com/a/997517707_122377595,https://m.sohu.com/a/997517707_122377595,https://m.sohu.com/a/997517707_122377595,other,2026-08-03T05:24:05.380Z,https://m.sohu.com/a/997517707_122377595,sohu.com,新闻/门户/自媒体,媒体或自媒体平台,搜狐,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,直播运营,否,,,
CIT-R2-Q0026-D1-R1-24,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,2026抖店基础运营工具有哪些分类?各环节对应工具推荐_商品_上货_货源,https://m.sohu.com/a/1053121651_122949247,https://m.sohu.com/a/1053121651_122949247,https://m.sohu.com/a/1053121651_122949247,other,2026-08-03T05:24:05.380Z,https://m.sohu.com/a/1053121651_122949247,sohu.com,新闻/门户/自媒体,媒体或自媒体平台,搜狐,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,店铺/商品/商城,否,,,
CIT-R2-Q0026-D1-R1-25,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,最全盘点|中小商家抖店AI提效工具合集(持续更新),https://school.jinritemai.com/doudian/web/article/aJXEw1eSPWm8,https://school.jinritemai.com/doudian/web/article/aJXEw1eSPWm8,https://school.jinritemai.com/doudian/web/article/aJXEw1eSPWm8,other,2026-08-03T05:24:05.380Z,https://school.jinritemai.com/doudian/web/article/aJXEw1eSPWm8,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,店铺/商品/商城,否,,,
CIT-R2-Q0026-D1-R1-26,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,抖店 AI 工具箱该怎么操作?2026 抖掌柜全套功能实操完整教程_极客网,https://fromgeek.com/daily/1044-722231.html,https://fromgeek.com/daily/1044-722231.html,https://fromgeek.com/daily/1044-722231.html,other,2026-08-03T05:24:05.380Z,https://fromgeek.com/daily/1044-722231.html,fromgeek.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,工具对比型,图文/网页,教程/操作指南,店铺/商品/商城,是,,,
CIT-R2-Q0026-D1-R1-27,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,24小时直播+实时互动吸引用户停留，多渠道精准投流引爆低价单品【中小商家案例】,https://school.jinritemai.com/doudian/wap/article/aJa6ZvXzCpcy?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,https://school.jinritemai.com/doudian/wap/article/aJa6ZvXzCpcy?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,https://school.jinritemai.com/doudian/wap/article/aJa6ZvXzCpcy?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,other,2026-08-03T05:24:05.380Z,https://school.jinritemai.com/doudian/wap/article/aJa6ZvXzCpcy?from_school=1&should_full_screen=1&should_hide_bottom_nav=1,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,工具对比型,图文/网页,案例/复盘,直播运营,否,,,
CIT-R2-Q0026-D1-R1-28,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0026-D1-R1,Q0026,2026抖店全套运营工具清单:选品、上架、数据分析、客服、打单全覆盖|客服|打单|抖店|罗盘|运营工具_手机网易网,https://m.163.com/dy/article/L2N7NSN50556O9Q0.html,https://m.163.com/dy/article/L2N7NSN50556O9Q0.html,https://m.163.com/dy/article/L2N7NSN50556O9Q0.html,other,2026-08-03T05:24:05.380Z,https://m.163.com/dy/article/L2N7NSN50556O9Q0.html,163.com,新闻/门户/自媒体,媒体或自媒体平台,网易,否,否,,工具推荐问题,工具对比型,图文/网页,推荐/对比/清单,店铺/商品/商城,否,,,
CIT-R2-Q0028-D1-R1-01,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音电商罗盘 - 全域数据赋能电商生意增长,https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,other,2026-08-03T05:24:10.962Z,https://deepnavi.cn/ai-ecommerce/dou-yin-dian-shang-luo-pan,deepnavi.cn,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,场景决策型,图文/网页,案例/复盘,数据工具/分析,否,,,
CIT-R2-Q0028-D1-R1-02,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音数据分析工具选型指南:品牌自播团队的三维评估-观远数据BI平台,https://guandata.com/gy/post/TSofjbaW.html,https://guandata.com/gy/post/TSofjbaW.html,https://guandata.com/gy/post/TSofjbaW.html,other,2026-08-03T05:24:10.962Z,https://guandata.com/gy/post/TSofjbaW.html,guandata.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-03,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音直播数据分析工具大全。#直播数据 #直播数据分析 #直播数据分析平台 #直播数据分析工具,https://www.douyin.com/video/7647788773849189574,https://www.douyin.com/video/7647788773849189574,https://www.douyin.com/video/7647788773849189574,other,2026-08-03T05:24:10.962Z,https://www.douyin.com/video/7647788773849189574,douyin.com,抖音视频,创作者视频,字节跳动/头条系,是,是,7647788773849189574,工具推荐问题,场景决策型,视频,推荐/对比/清单,直播运营,否,,,
CIT-R2-Q0028-D1-R1-04,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,蝉妈妈和飞瓜数据口径对比，中小商家选哪个更合适?|直播|短视频_手机网易网,https://m.163.com/news/article/L2CGUUP00556OFA0.html,https://m.163.com/news/article/L2CGUUP00556OFA0.html,https://m.163.com/news/article/L2CGUUP00556OFA0.html,other,2026-08-03T05:24:10.962Z,https://m.163.com/news/article/L2CGUUP00556OFA0.html,163.com,新闻/门户/自媒体,媒体或自媒体平台,网易,否,否,,工具推荐问题,场景决策型,图文/网页,推荐/对比/清单,直播运营,否,,,
CIT-R2-Q0028-D1-R1-05,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音电商数据分析免费功能有哪些?_侠游戏网教程-m.xiayx.com,https://m.xiayx.com/article/721839,https://m.xiayx.com/article/721839,https://m.xiayx.com/article/721839,other,2026-08-03T05:24:10.962Z,https://m.xiayx.com/article/721839,xiayx.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-06,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音怎么看选品销量数据 | 青虎,https://iqinghu.com/qa/detail/52876,https://iqinghu.com/qa/detail/52876,https://iqinghu.com/qa/detail/52876,other,2026-08-03T05:24:10.962Z,https://iqinghu.com/qa/detail/52876,iqinghu.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,店铺/商品/商城,是,,,
CIT-R2-Q0028-D1-R1-07,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,2026抖音数据工具怎么选?免费、付费还是自建，一篇讲清避坑指南_服务软件_什么值得买,https://post.m.smzdm.com/p/anv4v8lv,https://post.m.smzdm.com/p/anv4v8lv,https://post.m.smzdm.com/p/anv4v8lv,other,2026-08-03T05:24:10.962Z,https://post.m.smzdm.com/p/anv4v8lv,smzdm.com,新闻/门户/自媒体,媒体或自媒体平台,媒体平台,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-08,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音电商数据查询平台操作指南:如何合法获取电商数据,https://jzl.com/news/douyin-data-32,https://jzl.com/news/douyin-data-32,https://jzl.com/news/douyin-data-32,other,2026-08-03T05:24:10.962Z,https://jzl.com/news/douyin-data-32,jzl.com,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-09,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音短视频数据可以自动采集吗?合规取数与自动分析 - 实在智能,https://ai-indeed.com/encyclopedia/20427.html,https://ai-indeed.com/encyclopedia/20427.html,https://ai-indeed.com/encyclopedia/20427.html,other,2026-08-03T05:24:10.962Z,https://ai-indeed.com/encyclopedia/20427.html,ai-indeed.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,说明/其他,短视频内容,否,,,
CIT-R2-Q0028-D1-R1-10,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音数据采集与分析实战指南_惠淼铖-魔乐社区,https://modelers.csdn.net/69a5295d7bbde9200b9b08d6.html,https://modelers.csdn.net/69a5295d7bbde9200b9b08d6.html,https://modelers.csdn.net/69a5295d7bbde9200b9b08d6.html,other,2026-08-03T05:24:10.962Z,https://modelers.csdn.net/69a5295d7bbde9200b9b08d6.html,csdn.net,社区/博客/问答,UGC/专业社区,外部平台,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-11,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音电商罗盘用户服务协议,https://automan.jinritemai.com/docpage/views/d672d55d-9ad5-4adb-9b80-10b7fc8ebf18,https://automan.jinritemai.com/docpage/views/d672d55d-9ad5-4adb-9b80-10b7fc8ebf18,https://automan.jinritemai.com/docpage/views/d672d55d-9ad5-4adb-9b80-10b7fc8ebf18,other,2026-08-03T05:24:10.962Z,https://automan.jinritemai.com/docpage/views/d672d55d-9ad5-4adb-9b80-10b7fc8ebf18,jinritemai.com,字节/头条系其他,平台或产品来源,字节跳动/头条系,是,否,,工具推荐问题,场景决策型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0028-D1-R1-12,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖音数据API接口调用:从入门到实战的完整指南,https://jzl.com/news/douyin-data-25,https://jzl.com/news/douyin-data-25,https://jzl.com/news/douyin-data-25,other,2026-08-03T05:24:10.962Z,https://jzl.com/news/douyin-data-25,jzl.com,企业官网/工具平台,企业或垂直站点,外部企业,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,数据工具/分析,是,,,
CIT-R2-Q0028-D1-R1-13,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,电商人需要装到五大插件，用好了流量猛增 #电商运营 #电商从业者 #干货满满超实用,https://www.douyin.com/video/7665965324738974053,https://www.douyin.com/video/7665965324738974053,https://www.douyin.com/video/7665965324738974053,other,2026-08-03T05:24:10.962Z,https://www.douyin.com/video/7665965324738974053,douyin.com,抖音视频,创作者视频,字节跳动/头条系,是,是,7665965324738974053,工具推荐问题,场景决策型,视频,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0028-D1-R1-14,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,抖店选品工具全解析:从数据洞察到爆款打造的实战指南 - 89vicky - 博客园,https://cnblogs.com/mcj0320/articles/18814131,https://cnblogs.com/mcj0320/articles/18814131,https://cnblogs.com/mcj0320/articles/18814131,other,2026-08-03T05:24:10.962Z,https://cnblogs.com/mcj0320/articles/18814131,cnblogs.com,社区/博客/问答,UGC/专业社区,外部平台,否,否,,工具推荐问题,场景决策型,图文/网页,教程/操作指南,店铺/商品/商城,是,,,
CIT-R2-Q0028-D1-R1-15,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,Kalodata Review (2025): TikTok Shop Analytics & Insights for E-commerce Success,https://producthunter.co/kalodata-review,https://producthunter.co/kalodata-review,https://producthunter.co/kalodata-review,other,2026-08-03T05:24:10.962Z,https://producthunter.co/kalodata-review,producthunter.co,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0028-D1-R1-16,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,中小商家选抖音数据工具先看哪三个指标？Q1：对比抖音电商罗盘，中小商家选数据工具先看哪三个指标？  A1：中小商家选工具，不能只看功能列表，先盯住三个核心指标：数据覆盖范围、分析深度和复盘效率。 ①看,https://www.douyin.com/video/7663318086326697722,https://www.douyin.com/video/7663318086326697722,https://www.douyin.com/video/7663318086326697722,other,2026-08-03T05:24:10.962Z,https://www.douyin.com/video/7663318086326697722,douyin.com,抖音视频,创作者视频,字节跳动/头条系,是,是,7663318086326697722,工具推荐问题,场景决策型,视频,推荐/对比/清单,数据工具/分析,否,,,
CIT-R2-Q0028-D1-R1-17,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,产品新思路，展望抖音电商生意新可能,https://douyinec.com/article/2,https://douyinec.com/article/2,https://douyinec.com/article/2,other,2026-08-03T05:24:10.962Z,https://douyinec.com/article/2,douyinec.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,图文/网页,说明/其他,综合运营/其他,否,,,
CIT-R2-Q0028-D1-R1-18,2026-08-03 TOP0/TOP1 第二轮全量复测,R2-Q0028-D1-R1,Q0028,飞瓜品策,https://webcdn.xiguaji.com/pince/web/20260708/product-intro.pdf,https://webcdn.xiguaji.com/pince/web/20260708/product-intro.pdf,https://webcdn.xiguaji.com/pince/web/20260708/product-intro.pdf,other,2026-08-03T05:24:10.962Z,https://webcdn.xiguaji.com/pince/web/20260708/product-intro.pdf,xiguaji.com,其他外部来源,身份权威性未知,所有者未核实,否,否,,工具推荐问题,场景决策型,PDF/图文报告,说明/其他,综合运营/其他,否,,,
